allUpdates.txt


ctan.altspu.ru.txt
Changed at:			 Timestamp
2020-03-14T12:02:14		 2020-03-14T10:02
2020-03-14T13:05:31		 2020-03-14T11:02
2020-03-14T14:03:53		 2020-03-14T12:02
2020-03-14T15:01:38		 2020-03-14T13:02
2020-03-14T16:03:25		 2020-03-14T14:02
2020-03-14T17:01:54		 2020-03-14T15:02
2020-03-14T18:04:50		 2020-03-14T16:02
2020-03-14T19:03:58		 2020-03-14T17:02
2020-03-14T20:02:46		 2020-03-14T18:02
2020-03-14T21:05:59		 2020-03-14T19:02
2020-03-14T22:03:30		 2020-03-14T20:02
2020-03-14T23:06:19		 2020-03-14T21:02
2020-03-15T00:04:31		 2020-03-14T22:02
2020-03-15T01:02:28		 2020-03-14T23:02
2020-03-15T02:05:31		 2020-03-15T00:02
2020-03-15T03:03:50		 2020-03-15T01:02
2020-03-15T04:02:52		 2020-03-15T02:02
2020-03-15T05:06:07		 2020-03-15T03:02
2020-03-15T06:04:38		 2020-03-15T04:02
2020-03-15T07:24:51		 2020-03-15T05:02
2020-03-15T08:02:30		 2020-03-15T06:02
2020-03-15T09:05:59		 2020-03-15T07:02
2020-03-15T10:06:23		 2020-03-15T08:02


mirrors.chevalier.io.txt
Changed at:			 Timestamp
-				 2020-03-13T00:02
2020-03-14T00:18:28		 2020-03-13T23:02
2020-03-15T02:00:27		 2020-03-15T00:02


mirrors.cqu.edu.cn.txt
Changed at:			 Timestamp
-				 2020-03-13T10:02
2020-03-13T12:14:41		 2020-03-13T11:02
2020-03-13T13:07:12		 2020-03-13T12:02
2020-03-13T14:25:29		 2020-03-13T13:02
2020-03-13T15:07:26		 2020-03-13T14:02
2020-03-13T16:10:35		 2020-03-13T15:02
2020-03-13T17:13:20		 2020-03-13T16:02
2020-03-13T18:10:41		 2020-03-13T17:02
2020-03-13T19:08:29		 2020-03-13T18:02
2020-03-13T20:11:48		 2020-03-13T19:02
2020-03-13T21:10:00		 2020-03-13T20:02
2020-03-13T22:18:02		 2020-03-13T21:02
2020-03-13T23:15:54		 2020-03-13T22:02
2020-03-14T00:28:44		 2020-03-13T23:02
2020-03-14T01:20:42		 2020-03-14T00:02
2020-03-14T03:30:35		 2020-03-14T02:02
2020-03-14T04:27:49		 2020-03-14T03:02
2020-03-14T05:51:00		 2020-03-14T04:02
2020-03-14T06:58:50		 2020-03-14T05:02
2020-03-14T07:46:22		 2020-03-14T06:02
2020-03-14T08:50:11		 2020-03-14T07:02
2020-03-14T09:21:45		 2020-03-14T08:02
2020-03-14T10:27:03		 2020-03-14T09:02
2020-03-14T11:04:27		 2020-03-14T10:02
2020-03-14T12:12:50		 2020-03-14T11:02
2020-03-14T13:31:47		 2020-03-14T12:02
2020-03-14T14:24:52		 2020-03-14T13:02
2020-03-14T15:18:44		 2020-03-14T14:02
2020-03-14T16:08:42		 2020-03-14T15:02
2020-03-14T17:12:25		 2020-03-14T16:02
2020-03-14T18:31:29		 2020-03-14T17:02
2020-03-14T19:14:35		 2020-03-14T18:02
2020-03-14T20:23:48		 2020-03-14T19:02
2020-03-14T21:11:12		 2020-03-14T20:02
2020-03-14T22:39:56		 2020-03-14T21:02
2020-03-14T23:17:05		 2020-03-14T22:02
2020-03-15T00:26:09		 2020-03-14T23:02
2020-03-15T01:18:04		 2020-03-15T00:02
2020-03-15T02:10:43		 2020-03-15T01:02
2020-03-15T03:36:32		 2020-03-15T02:02
2020-03-15T04:45:09		 2020-03-15T03:02
2020-03-15T05:27:26		 2020-03-15T04:02
2020-03-15T06:25:40		 2020-03-15T05:02
2020-03-15T07:30:07		 2020-03-15T06:02
2020-03-15T08:39:11		 2020-03-15T07:02
2020-03-15T09:11:12		 2020-03-15T08:02
2020-03-15T10:17:13		 2020-03-15T09:02


mirrors.nxthost.com.txt
Changed at:			 Timestamp
-				 2020-03-13T06:02
2020-03-13T15:33:46		 2020-03-13T14:02
2020-03-13T23:31:36		 2020-03-13T22:02
2020-03-14T07:35:57		 2020-03-14T06:02
2020-03-14T15:31:45		 2020-03-14T14:02
2020-03-14T23:33:07		 2020-03-14T22:02
2020-03-15T07:35:28		 2020-03-15T06:02


mirrors.sjtug.sjtu.edu.cn.txt
Changed at:			 Timestamp
-				 2020-03-13T07:02
2020-03-13T14:57:06		 2020-03-13T13:02
2020-03-13T21:20:51		 2020-03-13T20:02
2020-03-14T03:46:23		 2020-03-14T02:02
2020-03-14T10:09:44		 2020-03-14T09:02
2020-03-14T16:30:27		 2020-03-14T15:02
2020-03-14T22:55:42		 2020-03-14T21:02
2020-03-15T05:22:22		 2020-03-15T04:02


mirrors.tuna.tsinghua.edu.cn.txt
Changed at:			 Timestamp
-				 2020-03-13T07:02
2020-03-13T15:54:57		 2020-03-13T12:02
2020-03-13T16:05:24		 2020-03-13T07:02
2020-03-13T16:15:51		 2020-03-13T12:02
2020-03-13T16:26:18		 2020-03-13T07:02
2020-03-13T16:36:46		 2020-03-13T12:02
2020-03-13T16:42:01		 2020-03-13T07:02
2020-03-13T16:57:47		 2020-03-13T12:02
2020-03-13T17:08:11		 2020-03-13T07:02
2020-03-13T17:13:23		 2020-03-13T12:02
2020-03-13T21:15:23		 2020-03-13T17:02
2020-03-14T01:20:44		 2020-03-13T22:02
2020-03-14T05:19:51		 2020-03-14T03:02
2020-03-14T05:25:04		 2020-03-13T22:02
2020-03-14T05:30:16		 2020-03-14T03:02
2020-03-14T05:51:02		 2020-03-13T22:02
2020-03-14T05:56:13		 2020-03-14T03:02
2020-03-14T06:01:24		 2020-03-13T22:02
2020-03-14T06:22:11		 2020-03-14T03:02
2020-03-14T06:27:44		 2020-03-13T22:02
2020-03-14T06:32:55		 2020-03-14T03:02
2020-03-14T06:38:07		 2020-03-13T22:02
2020-03-14T06:43:17		 2020-03-14T03:02
2020-03-14T06:48:28		 2020-03-13T22:02
2020-03-14T06:53:41		 2020-03-14T03:02
2020-03-14T07:04:07		 2020-03-13T22:02
2020-03-14T07:14:40		 2020-03-14T03:02
2020-03-14T07:46:25		 2020-03-13T22:02
2020-03-14T07:57:21		 2020-03-14T03:02
2020-03-14T12:23:31		 2020-03-14T08:02
2020-03-14T12:44:33		 2020-03-14T03:02
2020-03-14T12:55:00		 2020-03-14T08:02
2020-03-14T13:10:49		 2020-03-14T03:02
2020-03-14T13:21:22		 2020-03-14T08:02
2020-03-14T16:19:21		 2020-03-14T13:02
2020-03-14T16:25:01		 2020-03-14T08:02
2020-03-14T16:30:18		 2020-03-14T13:02
2020-03-14T16:35:34		 2020-03-14T08:02
2020-03-14T16:51:26		 2020-03-14T13:02
2020-03-14T16:56:43		 2020-03-14T08:02
2020-03-14T17:01:58		 2020-03-14T13:02
2020-03-14T17:07:13		 2020-03-14T08:02
2020-03-14T17:22:56		 2020-03-14T13:02
2020-03-14T21:06:03		 2020-03-14T18:02
2020-03-14T21:11:14		 2020-03-14T13:02
2020-03-14T21:21:39		 2020-03-14T18:02
2020-03-15T01:28:29		 2020-03-14T23:02
2020-03-15T02:00:23		 2020-03-14T18:02
2020-03-15T02:05:34		 2020-03-14T23:02
2020-03-15T02:16:01		 2020-03-14T18:02
2020-03-15T02:21:34		 2020-03-14T23:02
